::1 - - [11/Apr/2024:03:57:19 +0000] "POST /api/v1/login HTTP/1.1" 200 281 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:57:45 +0000] "GET /api/v1/users HTTP/1.1" 200 353 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:04:51:48 +0000] "POST /api/v1/register/admin HTTP/1.1" 201 93 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:04:51:53 +0000] "POST /api/v1/register HTTP/1.1" 201 99 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:04:51:55 +0000] "POST /api/v1/register HTTP/1.1" 409 51 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:04:51:59 +0000] "POST /api/v1/login HTTP/1.1" 200 281 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:04:52:04 +0000] "GET /api/v1/users HTTP/1.1" 401 26 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:04:52:16 +0000] "POST /api/v1/login HTTP/1.1" 200 287 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:04:52:22 +0000] "GET /api/v1/users HTTP/1.1" 200 284 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:04:52:34 +0000] "POST /api/v1/login HTTP/1.1" 200 281 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:04:52:43 +0000] "POST /api/v1/register/admin HTTP/1.1" 403 26 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:04:52:46 +0000] "POST /api/v1/register/admin HTTP/1.1" 409 51 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:11:45:02 +0000] "POST /api/v1/register/admin HTTP/1.1" 409 51 "-" "PostmanRuntime/7.37.3"
::1 - - [12/Apr/2024:02:16:17 +0000] "GET /api/v1/myprofile HTTP/1.1" 200 99 "-" "PostmanRuntime/7.37.3"
::1 - - [12/Apr/2024:02:16:28 +0000] "POST /api/v1/register/admin HTTP/1.1" 409 51 "-" "PostmanRuntime/7.37.3"
::1 - - [12/Apr/2024:02:16:53 +0000] "POST /api/v1/login HTTP/1.1" 200 493 "-" "PostmanRuntime/7.37.3"
::1 - - [12/Apr/2024:02:16:55 +0000] "POST /api/v1/register HTTP/1.1" 409 51 "-" "PostmanRuntime/7.37.3"
::1 - - [12/Apr/2024:02:17:09 +0000] "POST /api/v1/register HTTP/1.1" 201 96 "-" "PostmanRuntime/7.37.3"
::1 - - [12/Apr/2024:02:17:31 +0000] "POST /api/v1/register/admin HTTP/1.1" 409 51 "-" "PostmanRuntime/7.37.3"
